recovery,implied_5y_default_prob,mtm_par_trade,mtm_offmarket_trade,mtm_par_trade_hazard_fixed,mtm_offmarket_trade_hazard_fixed
0.1,0.048000785,-21500.0000000024,-918119.8650812684,167670.3826200072,-720864.651246687
0.11,0.0485293074,-21500.0000000018,-917937.0843654386,161364.7031993402,-727170.330667354
0.12,0.0490695964,-21500.0000000023,-917750.2020424932,155059.0237786732,-733476.0100880213
0.13,0.0496220492,-21500.0000000015,-917559.078491393,148753.3443580064,-739781.6895086879
0.14,0.0501870812,-21500.0000000015,-917363.5676816166,142447.6649373394,-746087.3689293549
0.15,0.050765127,-21500.0000000017,-917163.5168011052,136141.9855166726,-752393.0483500217
0.16,0.0513566413,-21500.0000000019,-916958.7658579958,129836.3060960057,-758698.7277706887
0.17,0.0519621002,-21500.0000000017,-916749.1472539576,123530.6266753388,-765004.4071913556
0.18,0.0525820027,-21500.0000000026,-916534.485326737,117224.9472546718,-771310.0866120226
0.19,0.0532168717,-21500.0000000017,-916314.5958592794,110919.267834005,-777615.7660326894
0.2,0.0538672558,-21500.0000000019,-916089.2855525726,104613.5884133381,-783921.4454533563
0.21,0.0545337307,-21500.0000000014,-915858.351458923,98307.9089926713,-790227.124874023
0.22,0.0552169007,-21500.0000000014,-915621.5803726919,92002.2295720043,-796532.8042946901
0.23,0.0559174012,-21500.0000000017,-915378.7481734124,85696.5501513374,-802838.4837153569
0.24,0.0566358998,-21500.0000000024,-915129.6191186653,79390.8707306705,-809144.1631360238
0.25,0.0573730991,-21500.0000000024,-914873.9450808042,73085.1913100035,-815449.8425566908
0.26,0.0581297385,-21500.000000002,-914611.4647228274,66779.5118893366,-821755.5219773578
0.27,0.0589065973,-21500.0000000016,-914341.9026075548,60473.8324686697,-828061.2013980246
0.28,0.0597044966,-21500.0000000014,-914064.9682337382,54168.1530480028,-834366.8808186916
0.29,0.0605243027,-21500.000000002,-913780.3549920062,47862.4736273359,-840672.5602393585
0.3,0.0613669302,-21500.0000000021,-913487.7390327592,41556.7942066689,-846978.2396600255
0.31,0.0622333451,-21500.0000000013,-913186.778037251,35251.1147860019,-853283.9190806925
0.32,0.063124569,-21500.0000000016,-912877.1098820108,28945.4353653351,-859589.5985013592
0.33,0.0640416825,-21500.0000000014,-912558.3511856816,22639.7559446682,-865895.2779220262
0.34,0.0649858301,-21500.0000000014,-912230.0957260274,16334.0765240012,-872200.9573426931
0.35,0.0659582246,-21500.0000000013,-911891.912713348,10028.3971033345,-878506.6367633598
0.36,0.0669601525,-21500.0000000013,-911543.3449048823,3722.7176826676,-884812.3161840269
0.37,0.0679929796,-21500.0000000011,-911183.9065428572,-2582.9617379993,-891117.9956046937
0.38,0.0690581572,-21500.0000000005,-910813.0810966246,-8888.6411586662,-897423.6750253608
0.39,0.0701572289,-21500.0000000004,-910430.318786837,-15194.3205793332,-903729.3544460274
0.4,0.0712918381,-21500.0000000001,-910035.0338666944,-21500.0000000001,-910035.0338666944
0.41,0.0724637359,-21499.9999999999,-909626.6016320186,-27805.679420667,-916340.7132873614
0.42,0.0736747907,-21499.9999999996,-909204.3551280505,-34111.3588413339,-922646.3927080284
0.43,0.0749269976,-21499.9999999993,-908767.5815164758,-40417.0382620008,-928952.072128695
0.44,0.0762224895,-21499.9999999986,-908315.5180610697,-46722.7176826677,-935257.751549362
0.45,0.0775635491,-21499.9999999983,-907847.3476844257,-53028.3971033346,-941563.4309700289
0.46,0.0789526229,-21499.9999999976,-907362.1940413348,-59334.0765240015,-947869.110390696
0.47,0.080392335,-21499.9999999969,-906859.1160463525,-65639.7559446685,-954174.7898113627
0.48,0.0818855046,-21499.9999999962,-906337.1017836878,-71945.4353653354,-960480.4692320297
0.49,0.0834351638,-21499.9999999948,-905795.061716522,-78251.1147860023,-966786.1486526966
0.5,0.0850445786,-21499.9999999937,-905231.8210999226,-84556.7942066692,-973091.8280733636
0.51,0.0867172711,-21499.9999999922,-904646.1114862089,-90862.4736273361,-979397.5074940304
0.52,0.0884570461,-21499.999999991,-904036.5611935884,-97168.153048003,-985703.1869146972
0.53,0.0902680191,-21499.9999999883,-903401.6845873778,-103473.8324686699,-992008.8663353642
0.54,0.0921546492,-21499.9999999858,-902739.8699976203,-109779.5118893369,-998314.5457560312
0.55,0.0941217756,-21499.9999999829,-902049.3660663464,-116085.1913100038,-1004620.2251766982
0.56,0.0961746587,-21499.9999999784,-901328.2662811438,-122390.8707306707,-1010925.904597365
0.57,0.0983190273,-21499.9999999739,-900574.4914076375,-128696.5501513376,-1017231.584018032
0.58,0.1005611317,-21499.9999999685,-899785.7694802101,-135002.2295720044,-1023537.2634386988
0.59,0.1029078043,-21499.999999961,-898959.6129457307,-141307.9089926714,-1029842.9428593658
0.6,0.1053665288,-21499.9999999523,-898093.2924763192,-147613.5884133383,-1036148.6222800326
