spread_multiplier,pnl_full,pnl_first_order,pnl_second_order
0.5,-192515.7201464454,-189757.3045040506,-192174.1118434826
0.55,-173015.2409630385,-170781.5740536456,-172739.1879985854
0.6,-153570.4842820795,-151805.8436032405,-153352.600300477
0.65,-134181.2956862327,-132830.1131528354,-134014.3487491571
0.7,-114847.5211840586,-113854.3827024304,-114724.4333446259
0.75,-95569.0072089599,-94878.6522520253,-95482.8540868833
0.8,-76345.6006179798,-75902.9218016202,-76289.6109759294
0.85,-57177.1486906972,-56927.1913512152,-57144.7040117641
0.9,-38063.4991280103,-37951.4609008101,-38048.1331943874
0.95,-19004.500051046,-18975.7304504051,-18999.8985237994
1.0,1e-10,0.0,0.0
1.05,18950.1520670034,18975.7304504051,18951.5623770108
1.1,37846.1067750408,37951.4609008102,37854.7886072329
1.15,56688.0143335276,56927.1913512152,56709.6786906663
1.2,75476.0245373398,75902.9218016202,75516.2326273111
1.25,94210.2867679464,94878.6522520253,94274.4504171673
1.3,112890.9499945295,113854.3827024304,112984.3320602349
1.35,131518.1627751005,132830.1131528354,131645.8775565138
1.4,150092.0732576205,151805.8436032405,150259.086906004
1.45,168612.829181113,170781.5740536456,168823.9601087056
1.5,187080.5778767717,189757.3045040506,187340.4971646186
1.55,205495.4662690688,208733.0349544557,205808.698073743
1.6,223857.6408768574,227708.7654048608,224228.5628360787
1.65,242167.2478144754,246684.4958552658,242600.0914516257
1.7,260424.4327928398,265660.2263056708,260923.283920384
1.75,278629.3411205425,284635.956756076,279198.140242354
1.8,296782.1177049434,303611.687206481,297424.660417535
1.85,314882.9070532521,322587.4176568861,315602.8444459276
1.9,332931.8532736238,341563.1481072911,333732.6923275314
1.95,350929.100076233,360538.8785576962,351814.2040623466
2.0,368874.7907743567,379514.6090081012,369847.3796503732
2.05,386769.0682833054,398490.3394585062,387832.219091611
2.1,404612.07513008,417466.0699089114,405768.7223860605
2.15,422403.953441556,436441.8003593164,423656.889533721
2.2,440144.8449539411,455417.5308097216,441496.7205345932
2.25,457834.8910119874,474393.2612601266,459288.2153886766
2.3,475474.2325702831,493368.9917105316,477031.3740959712
2.35,493063.0101937936,512344.7221609368,494726.1966564775
2.4,510601.3640590665,531320.4526113416,512372.6830701947
2.45,528089.4339553829,550296.1830617469,529970.8333371237
2.5,545527.3592856245,569271.9135121519,547520.6474572639
2.55,562915.2790675672,588247.6439625568,565022.1254306153
2.6,580253.3319347653,607223.374412962,582475.2672571782
2.65,597541.656137629,626199.104863367,599880.0729369525
2.7,614780.3895444641,645174.8353137722,617236.5424699382
2.75,631969.6696424925,664150.5657641772,634544.6758561352
2.8,649109.6335389036,683126.2962145822,651804.4730955433
2.85,666200.4179618694,702102.0266649873,669015.9341881631
2.9,683242.1592615796,721077.7571153924,686179.0591339942
2.95,700234.9934112534,740053.4875657976,703293.8479330369
3.0,717179.0560081695,759029.2180162024,720360.3005852903
3.05,734074.4822746762,778004.9484666074,737378.4170907553
3.1,750921.4070592732,796980.6789170125,754348.197449432
3.15,767719.9648373647,815956.4093674176,771269.6416613198
3.2,784470.289712652,834932.1398178228,788142.7497264192
3.25,801172.5154178818,853907.8702682278,804967.5216447297
3.3,817826.7753159128,872883.6007186327,821743.9574162514
3.35,834433.202400729,891859.3311690378,838472.0570409849
3.4,850991.9292984041,910835.0616194432,855151.8205189297
3.45,867503.0882681243,929810.7920698482,871783.2478500858
3.5,883966.8112031684,948786.5225202532,888366.339034453
3.55,900383.2296318981,967762.2529706582,904901.0940720316
3.6,916752.4747187458,986737.9834210632,921387.5129628218
3.65,933074.6772651912,1005713.7138714684,937825.5957068234
3.7,949349.9677107462,1024689.4443218736,954215.3423040363
3.75,965578.4761339282,1043665.1747722786,970556.7527544604
3.8,981760.3322532404,1062640.9052226832,986849.8270580954
3.85,997895.6654281344,1081616.6356730887,1003094.565214943
3.9,1013984.604659986,1100592.3661234935,1019290.9672250008
3.95,1030027.2785930588,1119568.0965738988,1035439.0330882706
4.0,1046023.815515466,1138543.8270243038,1051538.7628047515
