curve,pillar,maturity,quote_kind,quote,coupon_bp,conventional_spread_bp,method,hazard_pct,survival_prob,cum_default_prob
IG_flat,6M,2026-12-20,par_spread_bp,45.0,,45.0,bootstrap,0.7564563287,0.9980123941,0.0019876059
IG_flat,1Y,2027-06-20,par_spread_bp,50.0,,50.0,bootstrap,0.8854540725,0.9936157419,0.0063842581
IG_flat,2Y,2028-06-20,par_spread_bp,60.0,,60.0,bootstrap,1.1419633186,0.982302823,0.017697177
IG_flat,3Y,2029-06-20,par_spread_bp,70.0,,70.0,bootstrap,1.4972273011,0.9677050704,0.0322949296
IG_flat,4Y,2030-06-20,par_spread_bp,80.0,,80.0,bootstrap,1.8652801669,0.9498219632,0.0501780368
IG_flat,5Y,2031-06-20,par_spread_bp,90.0,,90.0,bootstrap,2.2480012526,0.9287081619,0.0712918381
IG_flat,7Y,2033-06-20,par_spread_bp,105.0,,105.0,bootstrap,2.5150823664,0.8830872385,0.1169127615
IG_flat,10Y,2036-06-20,par_spread_bp,120.0,,120.0,bootstrap,2.8180219927,0.8114364951,0.1885635049
HY_steep,6M,2026-12-20,par_spread_bp,150.0,,150.0,bootstrap,2.0172573874,0.9947083869,0.0052916131
HY_steep,1Y,2027-06-20,par_spread_bp,200.0,,200.0,bootstrap,3.053053165,0.9796801811,0.0203198189
HY_steep,2Y,2028-06-20,par_spread_bp,300.0,,300.0,bootstrap,5.1339932048,0.9305218736,0.0694781264
HY_steep,3Y,2029-06-20,par_spread_bp,380.0,,380.0,bootstrap,7.2937088008,0.8650683275,0.1349316725
HY_steep,4Y,2030-06-20,par_spread_bp,440.0,,440.0,bootstrap,8.6895663518,0.7930710639,0.2069289361
HY_steep,5Y,2031-06-20,par_spread_bp,500.0,,500.0,bootstrap,10.8511428773,0.7115184888,0.2884815112
HY_steep,7Y,2033-06-20,par_spread_bp,560.0,,560.0,bootstrap,10.6164808984,0.5752363055,0.4247636945
HY_steep,10Y,2036-06-20,par_spread_bp,600.0,,600.0,bootstrap,10.5862685566,0.418594567,0.581405433
distressed_inverted,6M,2026-12-20,upfront_pct,5.0693536854,500.0,2500.0000000003,bootstrap,31.5344595541,0.9204064174,0.0795935826
distressed_inverted,1Y,2027-06-20,upfront_pct,11.6013367067,500.0,2200.0,bootstrap,25.4878577756,0.810559857,0.189440143
distressed_inverted,2Y,2028-06-20,upfront_pct,18.4107492678,500.0,1800.0,bootstrap,17.8701134634,0.6775846324,0.3224153676
distressed_inverted,3Y,2029-06-20,upfront_pct,20.55894559,500.0,1499.9999999996,bootstrap,9.9617175134,0.6133386857,0.3866613143
distressed_inverted,4Y,2030-06-20,upfront_pct,22.1419281223,500.0,1350.0000000005,bootstrap,9.6657706836,0.5568297744,0.4431702256
distressed_inverted,5Y,2031-06-20,upfront_pct,21.8693318375,500.0,1200.0,bootstrap,4.7335084913,0.5310862815,0.4689137185
distressed_inverted,7Y,2033-06-20,upfront_pct,21.8687445393,500.0,1050.0,bootstrap,6.0994808003,0.4700164865,0.5299835135
distressed_inverted,10Y,2036-06-20,upfront_pct,22.0349811916,500.0,950.0,bootstrap,6.6933400376,0.3844386396,0.6155613604
distressed_arb,6M,2026-12-20,upfront_pct,13.1820677896,500.0,6000.0,upfront,75.7358822118,0.8193894862,0.1806105138
distressed_arb,1Y,2027-06-20,upfront_pct,11.6013367067,500.0,2200.0,upfront,27.7436084777,0.8095251128,0.1904748872
distressed_arb,2Y,2028-06-20,upfront_pct,18.4107492678,500.0,1800.0,upfront,22.6928587165,0.6700592961,0.3299407039
distressed_arb,3Y,2029-06-20,upfront_pct,20.55894559,500.0,1499.9999999996,upfront,18.9076037551,0.5929301427,0.4070698573
distressed_arb,4Y,2030-06-20,upfront_pct,22.1419281223,500.0,1350.0000000005,upfront,17.0160553619,0.5270027086,0.4729972914
distressed_arb,5Y,2031-06-20,upfront_pct,21.8693318375,500.0,1200.0,upfront,15.1248498805,0.4864574409,0.5135425591
distressed_arb,7Y,2033-06-20,upfront_pct,21.8687445393,500.0,1050.0,upfront,13.2336337605,0.4083885162,0.5916114838
distressed_arb,10Y,2036-06-20,upfront_pct,22.0349811916,500.0,950.0,upfront,11.9726433021,0.3104566969,0.6895433031
