scenario,pnl_full,pnl_spread_first_order,pnl_spread_gamma,pnl_recovery,pnl_rates,pnl_theta,pnl_cross,residual,residual_pct_of_total
spread_x0.5,-192515.7201464454,-189757.3045040506,-2416.807339432,0.0,0.0,0.0,0.0,-341.6083029628,0.177444368
spread_x0.75,-95569.0072089599,-94878.6522520253,-604.201834858,0.0,0.0,0.0,0.0,-86.1531220766,0.0901475537
spread_x1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
spread_x1.5,187080.5778767716,189757.3045040506,-2416.807339432,0.0,0.0,0.0,0.0,-259.919287847,-0.1389344051
spread_x2,368874.7907743567,379514.6090081012,-9667.229357728,0.0,0.0,0.0,0.0,-972.5888760165,-0.2636636876
spread_x3,717179.0560081695,759029.2180162024,-38668.9174309121,0.0,0.0,0.0,0.0,-3181.2445771208,-0.4435774512
spread_x4,1046023.815515466,1138543.8270243036,-87005.0642195522,0.0,0.0,0.0,0.0,-5514.9472892852,-0.5272296106
recovery_0.2,-302.7125842956,0.0,0.0,-408.4322346785,0.0,0.0,0.0,105.7196503829,-34.9241015628
recovery_0.1,-404.2415607309,0.0,0.0,-612.6483520177,0.0,0.0,0.0,208.4067912868,-51.5550135196
steepen_35bp,104674.5301911741,105367.156508409,-492.9180421734,0.0,0.0,0.0,0.0,-199.7082750615,-0.1907897506
flatten_35bp,-106082.9546252521,-105367.156508409,-492.9180421734,0.0,0.0,0.0,0.0,-222.8800746696,0.2100997992
rates_+100bp,956.1185125305,0.0,0.0,0.0,975.2784225493,0.0,0.0,-19.1599100189,-2.0039262673
rates_-100bp,-995.5344558019,0.0,0.0,0.0,-975.2784225493,0.0,0.0,-20.2560332526,2.0346893203
combined,381373.7964461804,379514.6090081012,-9667.229357728,-408.4322346785,-975.2784225493,0.0,2800.6455109724,10109.4819420626,2.6508066459
